Series,Operator,Circle,Type
8718,Airtel,Jharkhand,Mobile
8506,Airtel,Karnataka,Mobile
8303,Airtel,Maharashtra,Mobile
8283,Airtel,Maharashtra,Mobile
8127,Airtel,AP,Mobile
8482,Airtel,AP,Mobile
8115,Airtel,Haryana,Mobile
8631,Airtel,Gujarat,Mobile
8063,Airtel,Karnataka,Mobile
8218,Airtel,West Bengal,Mobile
8862,Airtel,Punjab,Mobile
8090,Airtel,Tamil Nadu,Mobile
8407,Airtel,UP West,Mobile
8413,Airtel,Chhattisgarh,Mobile
8563,Airtel,Maharashtra,Mobile
8781,Airtel,Tamil Nadu,Mobile
8627,Airtel,Karnataka,Mobile
8981,Airtel,UP East,Mobile
8590,Airtel,MP,Mobile
8426,Airtel,Odisha,Mobile
8914,Airtel,Maharashtra,Mobile
8378,Airtel,HP,Mobile
8052,Airtel,Rajasthan,Mobile
8514,Airtel,Gujarat,Mobile
8836,Airtel,Maharashtra,Mobile
8633,Airtel,Kerala,Mobile
8778,Airtel,Maharashtra,Mobile
8418,Airtel,Punjab,Mobile
8902,Airtel,Kerala,Mobile
8385,Airtel,Odisha,Mobile
8229,Airtel,Punjab,Mobile
8716,Airtel,Gujarat,Mobile
8773,Airtel,HP,Mobile
8829,Airtel,Delhi,Mobile
8015,Airtel,HP,Mobile
8860,Airtel,Delhi,Mobile
8642,Airtel,Rajasthan,Mobile
8395,Airtel,West Bengal,Mobile
8146,Airtel,West Bengal,Mobile
8611,Airtel,HP,Mobile
8162,Airtel,Jharkhand,Mobile
8034,Airtel,Odisha,Mobile
8966,Airtel,Karnataka,Mobile
8732,Airtel,Delhi,Mobile
8790,Airtel,Odisha,Mobile
8061,Airtel,Punjab,Mobile
8244,Airtel,Maharashtra,Mobile
8113,Airtel,UP West,Mobile
8425,Airtel,UP West,Mobile
8279,Airtel,Jharkhand,Mobile
8930,Airtel,Kerala,Mobile
8652,Airtel,Haryana,Mobile
8562,Vodafone Idea,UP West,Mobile
8884,Vodafone Idea,Haryana,Mobile
8282,Vodafone Idea,Assam,Mobile
8443,Vodafone Idea,Gujarat,Mobile
8995,Vodafone Idea,UP West,Mobile
8564,Vodafone Idea,Gujarat,Mobile
8449,Vodafone Idea,Haryana,Mobile
8367,Vodafone Idea,UP East,Mobile
8317,Vodafone Idea,AP,Mobile
8985,Vodafone Idea,Assam,Mobile
8691,Vodafone Idea,Rajasthan,Mobile
8490,Vodafone Idea,Delhi,Mobile
8808,Vodafone Idea,West Bengal,Mobile
8992,Vodafone Idea,West Bengal,Mobile
8970,Vodafone Idea,Assam,Mobile
8848,Vodafone Idea,Odisha,Mobile
8659,Vodafone Idea,Assam,Mobile
8486,Vodafone Idea,UP West,Mobile
8601,Vodafone Idea,Haryana,Mobile
8479,Vodafone Idea,Assam,Mobile
8280,Vodafone Idea,UP East,Mobile
8530,Vodafone Idea,Odisha,Mobile
8157,Vodafone Idea,MP,Mobile
8551,Vodafone Idea,Karnataka,Mobile
8212,Vodafone Idea,West Bengal,Mobile
8816,Vodafone Idea,Assam,Mobile
8591,Vodafone Idea,Odisha,Mobile
8933,Vodafone Idea,Tamil Nadu,Mobile
8260,Vodafone Idea,Bihar,Mobile
8802,Vodafone Idea,UP East,Mobile
8667,Vodafone Idea,West Bengal,Mobile
8646,Vodafone Idea,UP West,Mobile
8112,Vodafone Idea,Assam,Mobile
8136,Vodafone Idea,Haryana,Mobile
8352,Vodafone Idea,Punjab,Mobile
8153,Vodafone Idea,Tamil Nadu,Mobile
8327,Vodafone Idea,Gujarat,Mobile
8825,Vodafone Idea,Karnataka,Mobile
8662,Vodafone Idea,Maharashtra,Mobile
8507,Vodafone Idea,Punjab,Mobile
8369,Vodafone Idea,MP,Mobile
8165,Vodafone Idea,Maharashtra,Mobile
8768,Vodafone Idea,Karnataka,Mobile
8837,Vodafone Idea,Rajasthan,Mobile
8086,Vodafone Idea,Punjab,Mobile
8517,Vodafone Idea,Bihar,Mobile
8596,Vodafone Idea,UP East,Mobile
8135,Vodafone Idea,Karnataka,Mobile
8366,Vodafone Idea,Kerala,Mobile
8257,Vodafone Idea,AP,Mobile
8702,Vodafone Idea,Maharashtra,Mobile
8809,Vodafone Idea,Rajasthan,Mobile
8688,Vodafone Idea,UP West,Mobile
8784,Vodafone Idea,Tamil Nadu,Mobile
8805,Vodafone Idea,Gujarat,Mobile
8477,Vodafone Idea,Odisha,Mobile
8830,Vodafone Idea,Assam,Mobile
8180,Vodafone Idea,Tamil Nadu,Mobile
8437,Vodafone Idea,Gujarat,Mobile
8962,Vodafone Idea,Delhi,Mobile
8006,Vodafone Idea,Rajasthan,Mobile
8295,Vodafone Idea,Assam,Mobile
8619,Vodafone Idea,MP,Mobile
8625,Vodafone Idea,Rajasthan,Mobile
8978,Vodafone Idea,AP,Mobile
8828,Vodafone Idea,Karnataka,Mobile
8025,Vodafone Idea,AP,Mobile
8077,Vodafone Idea,MP,Mobile
8951,Vodafone Idea,Karnataka,Mobile
8122,Vodafone Idea,MP,Mobile
8557,Vodafone Idea,Delhi,Mobile
8322,Vodafone Idea,Maharashtra,Mobile
8152,Vodafone Idea,MP,Mobile
8639,Vodafone Idea,Maharashtra,Mobile
8010,Vodafone Idea,Karnataka,Mobile
8826,Vodafone Idea,Maharashtra,Mobile
8555,Vodafone Idea,Odisha,Mobile
8350,Vodafone Idea,Assam,Mobile
8537,Vodafone Idea,Karnataka,Mobile
8017,Vodafone Idea,Karnataka,Mobile
8436,Vodafone Idea,Bihar,Mobile
8846,Vodafone Idea,Assam,Mobile
8340,Vodafone Idea,Maharashtra,Mobile
8364,Vodafone Idea,Gujarat,Mobile
8912,Vodafone Idea,Delhi,Mobile
8640,Vodafone Idea,Bihar,Mobile
8804,Vodafone Idea,Punjab,Mobile
8230,Vodafone Idea,Gujarat,Mobile
8296,Vodafone Idea,Punjab,Mobile
8272,Vodafone Idea,Bihar,Mobile
8255,Vodafone Idea,Kerala,Mobile
8454,Vodafone Idea,Odisha,Mobile
8738,Vodafone Idea,MP,Mobile
8240,Vodafone Idea,West Bengal,Mobile
8599,Vodafone Idea,Kerala,Mobile
8441,Vodafone Idea,UP East,Mobile
8460,Vodafone Idea,Assam,Mobile
8880,Vodafone Idea,Maharashtra,Mobile
8447,Vodafone Idea,UP West,Mobile
8332,Vodafone Idea,Kerala,Mobile
8078,Vodafone Idea,UP West,Mobile
8673,Vodafone Idea,Assam,Mobile
8423,Vodafone Idea,AP,Mobile
8744,Vodafone Idea,Gujarat,Mobile
8329,Vodafone Idea,West Bengal,Mobile
8812,Vodafone Idea,Odisha,Mobile
8538,Vodafone Idea,Assam,Mobile
8424,Vodafone Idea,UP West,Mobile
8756,Vodafone Idea,AP,Mobile
8336,Vodafone Idea,Kerala,Mobile
8600,Vodafone Idea,UP West,Mobile
8866,Vodafone Idea,Punjab,Mobile
8200,Vodafone Idea,Rajasthan,Mobile
8459,Vodafone Idea,Karnataka,Mobile
8456,Vodafone Idea,UP East,Mobile
8513,Vodafone Idea,Kerala,Mobile
8674,Vodafone Idea,Odisha,Mobile
8496,Vodafone Idea,Assam,Mobile
8397,Vodafone Idea,Gujarat,Mobile
8634,Vodafone Idea,UP East,Mobile
8869,Vodafone Idea,Rajasthan,Mobile
8660,Vodafone Idea,Rajasthan,Mobile
8102,Vodafone Idea,Karnataka,Mobile
8855,Vodafone Idea,Bihar,Mobile
8363,Jio,Punjab,Mobile
8305,Jio,Tamil Nadu,Mobile
8037,Jio,Maharashtra,Mobile
8677,Jio,Jharkhand,Mobile
8575,Jio,Punjab,Mobile
8480,Jio,Karnataka,Mobile
8516,Jio,All India,Mobile
8081,Jio,Bihar,Mobile
8947,Jio,Punjab,Mobile
8022,Jio,Tamil Nadu,Mobile
8131,Jio,All India,Mobile
8669,Jio,Gujarat,Mobile
8392,Jio,UP East,Mobile
8032,Jio,Maharashtra,Mobile
8574,Jio,Bihar,Mobile
8474,Jio,Kerala,Mobile
8095,Jio,Delhi,Mobile
8256,Jio,Haryana,Mobile
8148,Jio,UP East,Mobile
8931,Jio,UP East,Mobile
8267,Jio,Tamil Nadu,Mobile
8056,Jio,UP East,Mobile
8004,Jio,Delhi,Mobile
8734,Jio,Tamil Nadu,Mobile
8365,Jio,UP East,Mobile
8945,Jio,Delhi,Mobile
8057,Jio,Gujarat,Mobile
8222,Jio,Uttarakhand,Mobile
8552,Jio,MP,Mobile
8675,Jio,Tamil Nadu,Mobile
8527,Jio,Karnataka,Mobile
8711,Jio,Haryana,Mobile
8356,Jio,Tamil Nadu,Mobile
8258,Jio,Assam,Mobile
8569,Jio,AP,Mobile
8550,Jio,Chhattisgarh,Mobile
8976,Jio,Uttarakhand,Mobile
8003,Jio,UP West,Mobile
8093,Jio,Odisha,Mobile
8692,Jio,Haryana,Mobile
8839,Jio,Delhi,Mobile
8897,Jio,Punjab,Mobile
8882,Jio,Odisha,Mobile
8984,Jio,AP,Mobile
8302,Jio,Rajasthan,Mobile
8536,Jio,Rajasthan,Mobile
8155,Jio,West Bengal,Mobile
8996,Jio,Rajasthan,Mobile
8254,Jio,Uttarakhand,Mobile
8035,Jio,Karnataka,Mobile
8520,Jio,Delhi,Mobile
8273,Jio,Karnataka,Mobile
8361,Jio,Delhi,Mobile
8610,Jio,Odisha,Mobile
8521,Jio,Punjab,Mobile
8780,Jio,Assam,Mobile
8202,Jio,All India,Mobile
8398,Jio,AP,Mobile
8968,Jio,AP,Mobile
8023,Jio,Chhattisgarh,Mobile
8725,Jio,UP West,Mobile
8129,Jio,Chhattisgarh,Mobile
8150,Jio,UP East,Mobile
8707,Jio,Tamil Nadu,Mobile
8963,Jio,Tamil Nadu,Mobile
8695,Jio,West Bengal,Mobile
8644,Jio,Jharkhand,Mobile
8792,Jio,Gujarat,Mobile
8249,Jio,MP,Mobile
8432,Jio,Odisha,Mobile
8177,Jio,UP East,Mobile
8206,Jio,West Bengal,Mobile
8793,Jio,Delhi,Mobile
8225,Jio,Bihar,Mobile
8337,Jio,Chhattisgarh,Mobile
8831,Jio,UP East,Mobile
8419,Jio,Uttarakhand,Mobile
8314,Jio,Uttarakhand,Mobile
8998,Jio,Chhattisgarh,Mobile
8974,Jio,All India,Mobile
8147,Jio,Odisha,Mobile
8876,Jio,MP,Mobile
8103,Jio,Haryana,Mobile
8649,Jio,Punjab,Mobile
8468,Jio,Uttarakhand,Mobile
8137,Jio,Delhi,Mobile
8042,Jio,MP,Mobile
8892,Jio,Odisha,Mobile
8726,Jio,Haryana,Mobile
8758,Jio,West Bengal,Mobile
8428,Jio,Uttarakhand,Mobile
8269,Jio,Tamil Nadu,Mobile
8682,Jio,Maharashtra,Mobile
8268,Jio,Delhi,Mobile
8515,Jio,Maharashtra,Mobile
8965,BSNL,All India,Mobile
8084,BSNL,All India,Mobile
8833,BSNL,All India,Mobile
8624,BSNL,All India,Mobile
8018,BSNL,All India,Mobile
8070,BSNL,All India,Mobile
8393,BSNL,All India,Mobile
8761,BSNL,All India,Mobile
8353,BSNL,All India,Mobile
8883,BSNL,All India,Mobile
8763,BSNL,All India,Mobile
8096,BSNL,All India,Mobile
8154,BSNL,All India,Mobile
8987,BSNL,All India,Mobile
8821,BSNL,All India,Mobile
8581,BSNL,All India,Mobile
8019,BSNL,All India,Mobile
8922,BSNL,All India,Mobile
8414,BSNL,All India,Mobile
8334,BSNL,All India,Mobile
8087,BSNL,All India,Mobile
8927,BSNL,All India,Mobile
8854,BSNL,All India,Mobile
8728,BSNL,All India,Mobile
8796,BSNL,All India,Mobile
8291,BSNL,All India,Mobile
8140,BSNL,All India,Mobile
8957,BSNL,All India,Mobile
8044,BSNL,All India,Mobile
8890,BSNL,All India,Mobile
8795,BSNL,All India,Mobile
8160,BSNL,All India,Mobile
8504,BSNL,All India,Mobile
8014,BSNL,All India,Mobile
8027,BSNL,All India,Mobile
8877,BSNL,All India,Mobile
8292,BSNL,All India,Mobile
8346,BSNL,All India,Mobile
8654,BSNL,All India,Mobile
8703,BSNL,All India,Mobile
8709,BSNL,All India,Mobile
8997,BSNL,All India,Mobile
8344,BSNL,All India,Mobile
8653,BSNL,All India,Mobile
8935,BSNL,All India,Mobile
8383,BSNL,All India,Mobile
8207,BSNL,All India,Mobile
8072,BSNL,All India,Mobile
8870,BSNL,All India,Mobile
8602,BSNL,All India,Mobile
8297,BSNL,All India,Mobile
8198,BSNL,All India,Mobile
8752,BSNL,All India,Mobile
8301,BSNL,All India,Mobile
8271,BSNL,All India,Mobile
8936,BSNL,All India,Mobile
8822,BSNL,All India,Mobile
8819,BSNL,All India,Mobile
8478,BSNL,All India,Mobile
8928,BSNL,All India,Mobile
8420,BSNL,All India,Mobile
8577,BSNL,All India,Mobile
8178,BSNL,All India,Mobile
8753,BSNL,All India,Mobile
8901,BSNL,All India,Mobile
8029,BSNL,All India,Mobile
8189,BSNL,All India,Mobile
8894,BSNL,All India,Mobile
8415,BSNL,All India,Mobile
8999,BSNL,All India,Mobile
8412,BSNL,All India,Mobile
8071,BSNL,All India,Mobile
8466,BSNL,All India,Mobile
8231,BSNL,All India,Mobile
8404,BSNL,All India,Mobile
8125,BSNL,All India,Mobile
8308,BSNL,All India,Mobile
8889,BSNL,All India,Mobile
8464,BSNL,All India,Mobile
8430,BSNL,All India,Mobile
8775,BSNL,All India,Mobile
8013,BSNL,All India,Mobile
8405,BSNL,All India,Mobile
8554,BSNL,All India,Mobile
8438,BSNL,All India,Mobile
8007,BSNL,All India,Mobile
8049,BSNL,All India,Mobile
8719,BSNL,All India,Mobile
8461,BSNL,All India,Mobile
9362,Airtel,Gujarat,Mobile
9872,Airtel,Gujarat,Mobile
9353,Airtel,West Bengal,Mobile
9633,Airtel,AP,Mobile
9186,Airtel,Kerala,Mobile
9782,Airtel,UP East,Mobile
9037,Airtel,Delhi,Mobile
9199,Airtel,West Bengal,Mobile
9752,Airtel,UP East,Mobile
9851,Airtel,Delhi,Mobile
9128,Airtel,West Bengal,Mobile
9716,Airtel,Jharkhand,Mobile
9984,Airtel,Karnataka,Mobile
9568,Airtel,Bihar,Mobile
9896,Airtel,AP,Mobile
9323,Airtel,AP,Mobile
9221,Airtel,Tamil Nadu,Mobile
9310,Airtel,Bihar,Mobile
9092,Airtel,UP East,Mobile
9817,Airtel,Karnataka,Mobile
9827,Airtel,Odisha,Mobile
9830,Airtel,Jharkhand,Mobile
9317,Airtel,Delhi,Mobile
9395,Airtel,Delhi,Mobile
9783,Airtel,MP,Mobile
9924,Airtel,Kerala,Mobile
9576,Airtel,Karnataka,Mobile
9511,Airtel,Maharashtra,Mobile
9293,Airtel,UP East,Mobile
9437,Airtel,Jharkhand,Mobile
9837,Airtel,Gujarat,Mobile
9699,Airtel,Delhi,Mobile
9047,Airtel,Odisha,Mobile
9070,Airtel,Haryana,Mobile
9372,Airtel,Punjab,Mobile
9578,Airtel,Karnataka,Mobile
9442,Airtel,MP,Mobile
9364,Airtel,Delhi,Mobile
9529,Airtel,Bihar,Mobile
9016,Airtel,Tamil Nadu,Mobile
9003,Airtel,Punjab,Mobile
9098,Airtel,Punjab,Mobile
9008,Airtel,Tamil Nadu,Mobile
9661,Airtel,West Bengal,Mobile
9017,Airtel,Odisha,Mobile
9921,Airtel,HP,Mobile
9507,Airtel,MP,Mobile
9271,Airtel,HP,Mobile
9485,Airtel,Delhi,Mobile
9700,Airtel,Delhi,Mobile
9313,Airtel,UP East,Mobile
9234,Airtel,Kerala,Mobile
9799,Airtel,Punjab,Mobile
